student_number,first_name,last_name,middle_name,email,program_code,year_level,section_char
2401018,Olive,Zulueta,,olive.zulueta2401018@ccs.edu.ph,BSIT,2,A
2201098,Primo,Perez,I.,primo.perez2201098@ccs.edu.ph,BSIT,4,D
2203014,Uly,Castro,,uly.castro2203014@ccs.edu.ph,BSIS,4,B
2402001,Oscar,Jimenez,,oscar.jimenez2402001@ccs.edu.ph,BSCS,2,A
2402011,Isko,Guzman,F.,isko.guzman2402011@ccs.edu.ph,BSCS,2,A
2501045,Hana,Velasco,N.,hana.velasco2501045@ccs.edu.ph,BSIT,1,B
2401017,Kiko,Evangelista,,kiko.evangelista2401017@ccs.edu.ph,BSIT,2,A
2501004,Yuri,Abella,,yuri.abella2501004@ccs.edu.ph,BSIT,1,A
2201003,Yael,Guerrero,H.,yael.guerrero2201003@ccs.edu.ph,BSIT,4,A
2502041,Dex,Salazar,,dex.salazar2502041@ccs.edu.ph,BSCS,1,C
2301005,Grace,Ibarra,H.,grace.ibarra2301005@ccs.edu.ph,BSIT,3,A
2301017,Czar,Castillo,,czar.castillo2301017@ccs.edu.ph,BSIT,3,A
2201072,Emilio,Rivera,K.,emilio.rivera2201072@ccs.edu.ph,BSIT,4,C
2201062,Erika,Fajardo,,erika.fajardo2201062@ccs.edu.ph,BSIT,4,B
2303004,Zara,Delos Reyes,,zara.delosreyes2303004@ccs.edu.ph,BSIS,3,A
2202048,Vince,Dizon,G.,vince.dizon2202048@ccs.edu.ph,BSCS,4,C
2501126,Hugo,Chua,G.,hugo.chua2501126@ccs.edu.ph,BSIT,1,D
2202038,Yna,Fajardo,P.,yna.fajardo2202038@ccs.edu.ph,BSCS,4,C
2303025,Nena,Concepcion,L.,nena.concepcion2303025@ccs.edu.ph,BSIS,3,C
2202020,Oscar,Aguilar,P.,oscar.aguilar2202020@ccs.edu.ph,BSCS,4,B
2402049,Aaron,Fuentes,,aaron.fuentes2402049@ccs.edu.ph,BSCS,2,C
2503003,Cleo,Ramos,A.,cleo.ramos2503003@ccs.edu.ph,BSIS,1,A
2303008,Emilio,Bernardo,B.,emilio.bernardo2303008@ccs.edu.ph,BSIS,3,A
2501120,Pam,Fuentes,N.,pam.fuentes2501120@ccs.edu.ph,BSIT,1,D
2501016,Faith,Macaraeg,C.,faith.macaraeg2501016@ccs.edu.ph,BSIT,1,A
2201088,Noel,Enriquez,N.,noel.enriquez2201088@ccs.edu.ph,BSIT,4,C
2502059,Zach,Yap,,zach.yap2502059@ccs.edu.ph,BSCS,1,D
2302073,Santi,Ocampo,L.,santi.ocampo2302073@ccs.edu.ph,BSCS,3,D
2402038,Jill,Zulueta,M.,jill.zulueta2402038@ccs.edu.ph,BSCS,2,B
2501034,Kian,Aquino,I.,kian.aquino2501034@ccs.edu.ph,BSIT,1,B
2501070,Tala,Ferrer,,tala.ferrer2501070@ccs.edu.ph,BSIT,1,C
2303045,Jasmine,Alcantara,C.,jasmine.alcantara2303045@ccs.edu.ph,BSIS,3,D
2202018,Uly,Castillo,F.,uly.castillo2202018@ccs.edu.ph,BSCS,4,A
2501049,Cris,Castillo,H.,cris.castillo2501049@ccs.edu.ph,BSIT,1,B
2403019,Vera,Torres,E.,vera.torres2403019@ccs.edu.ph,BSIS,2,B
2303047,Gab,Soriano,N.,gab.soriano2303047@ccs.edu.ph,BSIS,3,D
2401091,Lea,Ocampo,,lea.ocampo2401091@ccs.edu.ph,BSIT,2,C
2202009,Iris,Castro,O.,iris.castro2202009@ccs.edu.ph,BSCS,4,A
2501090,Ian,Domingo,K.,ian.domingo2501090@ccs.edu.ph,BSIT,1,C
2201033,Uma,Guerrero,,uma.guerrero2201033@ccs.edu.ph,BSIT,4,B
2403017,Grace,Villanueva,E.,grace.villanueva2403017@ccs.edu.ph,BSIS,2,B
2302060,Jake,Herrera,,jake.herrera2302060@ccs.edu.ph,BSCS,3,D
2501088,Hazel,Rivera,E.,hazel.rivera2501088@ccs.edu.ph,BSIT,1,C
2501006,Alec,Bautista,N.,alec.bautista2501006@ccs.edu.ph,BSIT,1,A
2301053,Manny,Fuentes,D.,manny.fuentes2301053@ccs.edu.ph,BSIT,3,B
2501042,Emilio,Estrada,C.,emilio.estrada2501042@ccs.edu.ph,BSIT,1,B
2301002,Andrei,Domingo,P.,andrei.domingo2301002@ccs.edu.ph,BSIT,3,A
2303021,Jasmine,Robles,M.,jasmine.robles2303021@ccs.edu.ph,BSIS,3,B
2501036,Diego,Santiago,I.,diego.santiago2501036@ccs.edu.ph,BSIT,1,B
2502014,Faye,Santiago,K.,faye.santiago2502014@ccs.edu.ph,BSCS,1,A
2201032,Felix,Abella,A.,felix.abella2201032@ccs.edu.ph,BSIT,4,B
2401093,Jasmine,Macaraeg,G.,jasmine.macaraeg2401093@ccs.edu.ph,BSIT,2,C
2201071,Carlo,Ong,L.,carlo.ong2201071@ccs.edu.ph,BSIT,4,C
2201115,Hugo,Uy,F.,hugo.uy2201115@ccs.edu.ph,BSIT,4,D
2401112,Ysa,Uy,P.,ysa.uy2401112@ccs.edu.ph,BSIT,2,D
2501087,Isko,Alcantara,,isko.alcantara2501087@ccs.edu.ph,BSIT,1,C
2201027,Jill,Tan,,jill.tan2201027@ccs.edu.ph,BSIT,4,A
2201101,Hana,Aguilar,G.,hana.aguilar2201101@ccs.edu.ph,BSIT,4,D
2501044,Quinn,Hidalgo,F.,quinn.hidalgo2501044@ccs.edu.ph,BSIT,1,B
2401080,Ivan,Vargas,B.,ivan.vargas2401080@ccs.edu.ph,BSIT,2,C
2502023,Faith,Vargas,,faith.vargas2502023@ccs.edu.ph,BSCS,1,B
2303024,Erika,Lim,F.,erika.lim2303024@ccs.edu.ph,BSIS,3,B
2501018,Erika,Perez,,erika.perez2501018@ccs.edu.ph,BSIT,1,A
2201080,Kiko,Ong,B.,kiko.ong2201080@ccs.edu.ph,BSIT,4,C
